,PERMNO,date,TICKER,COMNAM,stock_return,SHROUT,RETX,market_return
3912,13788,2019-02-07,ZTS,ZOETIS INC,-0.015643,480451,-0.015643,-0.009075
3913,15720,2019-02-07,EIX,EDISON INTERNATIONAL,0.037403,325811,0.037403,-0.009075
3914,57665,2019-02-07,NKE,NIKE INC,-0.003869,1258773,-0.003869,-0.009075
3915,13788,2019-02-08,ZTS,ZOETIS INC,0.007192,480451,0.007192,0.000911
3916,15720,2019-02-08,EIX,EDISON INTERNATIONAL,0.00676,325811,0.00676,0.000911
3917,57665,2019-02-08,NKE,NIKE INC,-0.000364,1258773,-0.000364,0.000911
3918,13788,2019-02-11,ZTS,ZOETIS INC,-0.006449,480451,-0.006449,0.000711
3919,15720,2019-02-11,EIX,EDISON INTERNATIONAL,0.005854,325811,0.005854,0.000711
3920,57665,2019-02-11,NKE,NIKE INC,0.016027,1258773,0.016027,0.000711
3921,13788,2019-02-12,ZTS,ZOETIS INC,0.014374,480451,0.014374,0.013018
3922,15720,2019-02-12,EIX,EDISON INTERNATIONAL,0.028244,325811,0.028244,0.013018
3923,57665,2019-02-12,NKE,NIKE INC,0.012309,1258773,0.012309,0.013018
3924,13788,2019-02-13,ZTS,ZOETIS INC,0.008456,480451,0.008456,0.003121
3925,15720,2019-02-13,EIX,EDISON INTERNATIONAL,0.00566,325811,0.00566,0.003121
3926,57665,2019-02-13,NKE,NIKE INC,0.008145,1258773,0.008145,0.003121
3927,13788,2019-02-14,ZTS,ZOETIS INC,0.056771,480451,0.056771,-0.002304
3928,15720,2019-02-14,EIX,EDISON INTERNATIONAL,0.001821,325811,0.001821,-0.002304
3929,57665,2019-02-14,NKE,NIKE INC,-0.008431,1258773,-0.008431,-0.002304
3930,13788,2019-02-15,ZTS,ZOETIS INC,0.022625,480451,0.022625,0.010844
3931,15720,2019-02-15,EIX,EDISON INTERNATIONAL,-0.00033,325811,-0.00033,0.010844
3932,57665,2019-02-15,NKE,NIKE INC,0.008266,1258773,0.008266,0.010844
3933,13788,2019-02-19,ZTS,ZOETIS INC,-0.004823,480451,-0.004823,0.001752
3934,15720,2019-02-19,EIX,EDISON INTERNATIONAL,0.019008,325811,0.019008,0.001752
3935,57665,2019-02-19,NKE,NIKE INC,-0.009487,1258773,-0.009487,0.001752
3936,13788,2019-02-20,ZTS,ZOETIS INC,-0.005479,480451,-0.005479,0.001832
3937,15720,2019-02-20,EIX,EDISON INTERNATIONAL,0.016707,325811,0.016707,0.001832
3938,57665,2019-02-20,NKE,NIKE INC,0.003193,1258773,0.003193,0.001832
3939,13788,2019-02-21,ZTS,ZOETIS INC,-0.009747,480451,-0.009747,-0.003445
3940,15720,2019-02-21,EIX,EDISON INTERNATIONAL,-0.022655,325811,-0.022655,-0.003445
3941,57665,2019-02-21,NKE,NIKE INC,-0.01049,1258773,-0.01049,-0.003445
3942,13788,2019-02-22,ZTS,ZOETIS INC,0.012196,480451,0.012196,0.006174
3943,15720,2019-02-22,EIX,EDISON INTERNATIONAL,0.002449,325811,0.002449,0.006174
3944,57665,2019-02-22,NKE,NIKE INC,0.009649,1258773,0.009649,0.006174
3945,13788,2019-02-25,ZTS,ZOETIS INC,-0.002325,480451,-0.002325,0.001318
3946,15720,2019-02-25,EIX,EDISON INTERNATIONAL,-0.01205,325811,-0.01205,0.001318
3947,57665,2019-02-25,NKE,NIKE INC,0.004837,1258773,0.004837,0.001318
3948,13788,2019-02-26,ZTS,ZOETIS INC,-0.009535,480451,-0.009535,-0.000786
3949,15720,2019-02-26,EIX,EDISON INTERNATIONAL,0.011043,325811,0.011043,-0.000786
3950,57665,2019-02-26,NKE,NIKE INC,0.007397,1258773,0.007397,-0.000786
3951,13788,2019-02-27,ZTS,ZOETIS INC,0.003316,480451,0.003316,-0.000339
3952,15720,2019-02-27,EIX,EDISON INTERNATIONAL,-0.011901,325811,-0.011901,-0.000339
3953,57665,2019-02-27,NKE,NIKE INC,0.004312,1258773,0.004312,-0.000339
3954,13788,2019-02-28,ZTS,ZOETIS INC,0.004584,478772,0.004584,-0.00231
3955,15720,2019-02-28,EIX,EDISON INTERNATIONAL,-0.011879,325811,-0.011879,-0.00231
3956,57665,2019-02-28,NKE,NIKE INC,-0.005106,1258773,-0.005106,-0.00231
3957,13788,2019-03-01,ZTS,ZOETIS INC,0.016131,478772,0.016131,0.006898
3958,15720,2019-03-01,EIX,EDISON INTERNATIONAL,0.02371,325811,0.02371,0.006898
