caldt,vwretd
2015-11-06,-0.000296
2015-11-09,-0.009597
2015-11-10,0.001874
2015-11-11,-0.003284
2015-11-12,-0.013719
2015-11-13,-0.011285
2015-11-16,0.015160
2015-11-17,-0.000952
2015-11-18,0.016253
2015-11-19,-0.001080
2015-11-20,0.003930
2015-11-23,-0.001019
2015-11-24,0.001202
2015-11-25,0.000107
2015-11-27,0.000756
2015-11-30,-0.004752
2015-12-01,0.010733
2015-12-02,-0.010711
2015-12-03,-0.014242
2015-12-04,0.020367
2015-12-07,-0.006789
2015-12-08,-0.006288
2015-12-09,-0.007690
2015-12-10,0.002337
2015-12-11,-0.019273
2015-12-14,0.004951
2015-12-15,0.010446
2015-12-16,0.014690
2015-12-17,-0.014958
2015-12-18,-0.017558
2015-12-21,0.007889
2015-12-22,0.008941
2015-12-23,0.012446
2015-12-24,-0.001635
2015-12-28,-0.002082
2015-12-29,0.010906
2015-12-30,-0.007063
2015-12-31,-0.009432
2016-01-04,-0.015190
2016-01-05,0.002134
2016-01-06,-0.012566
2016-01-07,-0.023433
2016-01-08,-0.010898
2016-01-11,0.001055
2016-01-12,0.007732
2016-01-13,-0.025050
2016-01-14,0.016641
2016-01-15,-0.021666
2016-01-19,0.000584
2016-01-20,-0.011584
2016-01-21,0.005400
2016-01-22,0.020313
2016-01-25,-0.015346
2016-01-26,0.014103
2016-01-27,-0.010767
2016-01-28,0.005788
2016-01-29,0.024522
2016-02-01,-0.000353
2016-02-02,-0.018668
2016-02-03,0.004892
2016-02-04,0.001674
2016-02-05,-0.018423
2016-02-08,-0.014244
2016-02-09,-0.000563
2016-02-10,0.000266
2016-02-11,-0.011938
2016-02-12,0.019408
2016-02-16,0.016836
2016-02-17,0.016645
2016-02-18,-0.004807
2016-02-19,0.000267
2016-02-22,0.014515
2016-02-23,-0.012147
2016-02-24,0.004499
2016-02-25,0.011663
2016-02-26,-0.001762
2016-02-29,-0.008096
2016-03-01,0.023751
2016-03-02,0.004158
2016-03-03,0.003601
2016-03-04,0.003277
2016-03-07,0.000897
2016-03-08,-0.010939
2016-03-09,0.005140
2016-03-10,0.000210
2016-03-11,0.016578
2016-03-14,-0.001083
2016-03-15,-0.001833
2016-03-16,0.005770
2016-03-17,0.006394
2016-03-18,0.004326
2016-03-21,0.001002
2016-03-22,-0.000759
2016-03-23,-0.006336
2016-03-24,-0.000324
2016-03-28,0.000579
2016-03-29,0.008996
2016-03-30,0.004496
2016-03-31,-0.002030
2016-04-01,0.006388
2016-04-04,-0.003057
2016-04-05,-0.010146
2016-04-06,0.010860
2016-04-07,-0.011989
2016-04-08,0.002779
2016-04-11,-0.002804
2016-04-12,0.009759
2016-04-13,0.010090
2016-04-14,0.000235
2016-04-15,-0.000877
2016-04-18,0.006640
2016-04-19,0.002914
2016-04-20,0.000740
2016-04-21,-0.005230
2016-04-22,0.000019
2016-04-25,-0.001657
2016-04-26,0.001775
2016-04-27,0.001740
2016-04-28,-0.009142
2016-04-29,-0.004948
2016-05-02,0.007958
2016-05-03,-0.008675
2016-05-04,-0.005600
2016-05-05,0.000095
2016-05-06,0.003474
2016-05-09,0.000921
2016-05-10,0.012501
2016-05-11,-0.009117
2016-05-12,0.000048
2016-05-13,-0.008524
2016-05-16,0.009907
2016-05-17,-0.009345
2016-05-18,0.000047
2016-05-19,-0.003166
2016-05-20,0.006168
2016-05-23,-0.002063
2016-05-24,0.013685
2016-05-25,0.006974
2016-05-26,-0.000039
2016-05-27,0.004409
2016-05-31,-0.000821
2016-06-01,0.001266
2016-06-02,0.002911
2016-06-03,-0.002827
2016-06-06,0.004856
2016-06-07,0.001246
2016-06-08,0.003516
2016-06-09,-0.001697
2016-06-10,-0.009141
2016-06-13,-0.007757
2016-06-14,-0.001673
2016-06-15,-0.001711
2016-06-16,0.003261
2016-06-17,-0.003229
2016-06-20,0.005859
2016-06-21,0.002732
2016-06-22,-0.001645
2016-06-23,0.013333
2016-06-24,-0.035723
2016-06-27,-0.018012
2016-06-28,0.017816
2016-06-29,0.017256
2016-06-30,0.013529
2016-07-01,0.002169
2016-07-05,-0.006639
2016-07-06,0.005709
2016-07-07,-0.000774
2016-07-08,0.015192
2016-07-11,0.003447
2016-07-12,0.006791
2016-07-13,0.000253
2016-07-14,0.005231
2016-07-15,-0.000962
2016-07-18,0.002433
2016-07-19,-0.001407
2016-07-20,0.004373
2016-07-21,-0.003588
2016-07-22,0.004509
2016-07-25,-0.002880
2016-07-26,0.000199
2016-07-27,-0.001334
2016-07-28,0.001742
2016-07-29,0.001739
2016-08-01,-0.001183
2016-08-02,-0.006411
2016-08-03,0.003364
2016-08-04,0.000503
2016-08-05,0.008638
2016-08-08,-0.000817
2016-08-09,0.000379
2016-08-10,-0.002326
2016-08-11,0.004847
2016-08-12,-0.000708
2016-08-15,0.002835
2016-08-16,-0.005339
2016-08-17,0.002046
2016-08-18,0.002338
