PERMNO,date
18484,2021-02-17
18484,2021-02-18
18484,2021-02-19
18484,2021-02-22
18484,2021-02-23
18484,2021-02-24
18484,2021-02-25
18484,2021-02-26
18484,2021-03-01
18484,2021-03-02
18484,2021-03-03
18484,2021-03-04
18484,2021-03-05
18484,2021-03-08
18484,2021-03-09
18484,2021-03-10
18484,2021-03-11
18484,2021-03-12
18484,2021-03-15
18484,2021-03-16
18484,2021-03-17
18484,2021-03-18
18484,2021-03-19
18484,2021-03-22
18484,2021-03-23
18484,2021-03-24
18484,2021-03-25
18484,2021-03-26
18484,2021-03-29
18484,2021-03-30
18484,2021-03-31
18484,2021-04-01
18484,2021-04-05
18484,2021-04-06
18484,2021-04-07
18484,2021-04-08
18484,2021-04-09
18484,2021-04-12
18484,2021-04-13
18484,2021-04-14
18484,2021-04-15
18484,2021-04-16
18484,2021-04-19
18484,2021-04-20
18484,2021-04-21
18484,2021-04-22
18484,2021-04-23
18484,2021-04-26
18484,2021-04-27
18484,2021-04-28
18484,2021-04-29
18484,2021-04-30
18484,2021-05-03
18484,2021-05-04
18484,2021-05-05
18484,2021-05-06
18484,2021-05-07
18484,2021-05-10
18484,2021-05-11
18484,2021-05-12
18484,2021-05-13
18484,2021-05-14
18484,2021-05-17
18484,2021-05-18
18484,2021-05-19
18484,2021-05-20
18484,2021-05-21
18484,2021-05-24
18484,2021-05-25
18484,2021-05-26
18484,2021-05-27
18484,2021-05-28
18484,2021-06-01
18484,2021-06-02
18484,2021-06-03
18484,2021-06-04
18484,2021-06-07
18484,2021-06-08
18484,2021-06-09
18484,2021-06-10
18484,2021-06-11
18484,2021-06-14
18484,2021-06-15
18484,2021-06-16
18484,2021-06-17
18484,2021-06-18
18484,2021-06-21
18484,2021-06-22
18484,2021-06-23
18484,2021-06-24
18484,2021-06-25
18484,2021-06-28
18484,2021-06-29
18484,2021-06-30
18484,2021-07-01
18484,2021-07-02
18484,2021-07-06
18484,2021-07-07
18484,2021-07-08
18484,2021-07-09
18484,2021-07-12
18484,2021-07-13
18484,2021-07-14
18484,2021-07-15
18484,2021-07-16
18484,2021-07-19
18484,2021-07-20
18484,2021-07-21
18484,2021-07-22
18484,2021-07-23
18484,2021-07-26
18484,2021-07-27
18484,2021-07-28
18484,2021-07-29
18484,2021-07-30
18484,2021-08-02
18484,2021-08-03
18484,2021-08-04
18484,2021-08-05
18484,2021-08-06
18484,2021-08-09
18484,2021-08-10
